order_ref,status,category,resolution,confidence,delta,note
ORD-2000,matched,clean,,0.99,-0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2001,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2002,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2003,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2004,exception,settlement_fee_adjustment,resolved_automatically,0.90,-1529.13,"Settlement is ₹1,529.13 below the expected net — consistent with an additional deduction/GST rounding on the payout."
ORD-2005,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2006,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2007,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2008,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2009,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2010,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2011,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2012,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2013,exception,amount_anomaly,needs_review,0.20,-2587.16,"Settlement credit (₹469.60) is far from the expected net (₹3,056.76) — too large to explain as a fee. Flagged for review."
ORD-2014,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2015,exception,missing_invoice,needs_review,0.40,0.00,Payment settled but no invoice was raised for it.
ORD-2016,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2017,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2018,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2019,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2020,exception,settlement_fee_adjustment,resolved_automatically,0.90,-2370.03,"Settlement is ₹2,370.03 below the expected net — consistent with an additional deduction/GST rounding on the payout."
ORD-2021,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2022,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2023,exception,delayed_settlement,resolved_automatically,0.75,5.00,Settlement landed 5 days after processing (expected 1) — bank-side delay.
ORD-2024,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2025,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2026,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2027,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2028,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2029,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
ORD-2030,matched,clean,,0.99,0.00,"Payment, settlement and invoice agree within tolerance."
